ProductGroupID,GroupName,Description,ParentGroupID,Category,SubCategory,GroupManager,CreatedDate,ModifiedDate,ActiveStatus,GroupImageURL
1,Laptops,"Category for laptop products",null,Electronics,Computers and Laptops,John Doe,2024-07-10,2024-07-10,Active,https://example.com/laptops.jpg
2,Smartphones,"Category for smartphone products",null,Electronics,Mobile Phones,Jane Smith,2024-07-10,2024-07-10,Active,https://example.com/smartphones.jpg
3,Home Appliances,"Category for home appliance products",null,Electronics,Home Appliances,Michael Johnson,2024-07-10,2024-07-10,Active,https://example.com/home-appliances.jpg
4,Electronics Accessories,"Category for electronics accessory products",null,Electronics,Accessories,Alice Brown,2024-07-10,2024-07-10,Active,https://example.com/accessories.jpg
5,Home Entertainment,"Category for home entertainment products",null,Electronics,Entertainment,Sam Wilson,2024-07-10,2024-07-10,Active,https://example.com/home-entertainment.jpg
6,Healthcare Devices,"Category for healthcare device products",null,Healthcare,Devices,Emily Clark,2024-07-10,2024-07-10,Active,https://example.com/healthcare-devices.jpg
7,Office Equipment,"Category for office equipment products",null,Office,Equipment,Chris Roberts,2024-07-10,2024-07-10,Active,https://example.com/office-equipment.jpg
8,Furniture,"Category for furniture products",null,Home,Furniture,Olivia Martinez,2024-07-10,2024-07-10,Active,https://example.com/furniture.jpg
9,Outdoor Gear,"Category for outdoor gear products",null,Outdoor,Gear,Daniel Lee,2024-07-10,2024-07-10,Active,https://example.com/outdoor-gear.jpg
10,Smart Home Devices,"Category for smart home device products",null,Electronics,Smart Home Devices,Sophia Hall,2024-07-10,2024-07-10,Active,https://example.com/smart-home-devices.jpg
